row,name,code,tweet,follow
429,永利股份,300230,2142.0,6057.0
430,拓尔思,300229,8532.0,18483.0
431,富瑞特装,300228,8503.0,17893.0
432,光韵达,300227,4579.0,12067.0
433,上海钢联,300226,12298.0,26412.0
434,金力泰,300225,1381.0,4931.0
435,正海磁材,300224,3406.0,12347.0
436,北京君正,300223,10064.0,55159.0
437,科大智能,300222,8103.0,25356.0
438,银禧科技,300221,6774.0,16544.0
439,金运激光,300220,6430.0,10979.0
440,鸿利智汇,300219,3972.0,10958.0
441,安利股份,300218,1974.0,4499.0
442,东方电热,300217,1729.0,7008.0
443,千山药机,300216,20680.0,40168.0
444,电科院,300215,4380.0,11428.0
445,日科化学,300214,909.0,3311.0
446,佳讯飞鸿,300213,2758.0,38898.0
447,易华录,300212,6448.0,22817.0
448,亿通科技,300211,1034.0,16762.0
449,森远股份,300210,1629.0,4228.0
450,天泽信息,300209,4206.0,12221.0
451,恒顺众昇,300208,21979.0,35599.0
452,欣旺达,300207,10629.0,31586.0
453,理邦仪器,300206,5587.0,16352.0
454,天喻信息,300205,4888.0,26873.0
455,舒泰神,300204,8580.0,34598.0
456,聚光科技,300203,4127.0,11938.0
457,聚龙股份,300202,2501.0,8840.0
458,海伦哲,300201,6009.0,20599.0
459,高盟新材,300200,2083.0,6809.0
460,翰宇药业,300199,6646.0,17227.0
461,纳川股份,300198,3217.0,9682.0
462,铁汉生态,300197,4913.0,13834.0
463,长海股份,300196,1817.0,4655.0
464,长荣股份,300195,2367.0,7786.0
465,福安药业,300194,1859.0,5907.0
466,佳士科技,300193,2918.0,9759.0
467,科斯伍德,300192,2308.0,6756.0
468,潜能恒信,300191,10832.0,21441.0
469,维尔利,300190,6179.0,13235.0
470,神农基因,300189,2255.0,8725.0
471,美亚柏科,300188,11185.0,25865.0
472,永清环保,300187,4220.0,12717.0
473,大华农,300186,4971.0,17107.0
474,通裕重工,300185,4025.0,37945.0
475,力源信息,300184,3809.0,10445.0
476,东软载波,300183,4918.0,27505.0
477,捷成股份,300182,4581.0,22547.0
478,佐力药业,300181,3643.0,18349.0
479,华峰超纤,300180,2466.0,8652.0
480,四方达,300179,1889.0,29485.0
481,腾邦国际,300178,14355.0,61975.0
482,中海达,300177,6468.0,40248.0
483,鸿特精密,300176,3370.0,17905.0
484,朗源股份,300175,4133.0,9308.0
485,元力股份,300174,2554.0,8892.0
486,智慧松德,300173,5537.0,29156.0
487,中电环保,300172,3413.0,16721.0
488,东富龙,300171,4988.0,10842.0
489,汉得信息,300170,8109.0,21204.0
490,天晟新材,300169,1896.0,5183.0
491,万达信息,300168,14929.0,40527.0
492,迪威视讯,300167,2731.0,9316.0
493,东方国信,300166,7132.0,19663.0
494,天瑞仪器,300165,3304.0,11001.0
495,通源石油,300164,1700.0,4410.0
496,先锋新材,300163,2420.0,5937.0
497,雷曼股份,300162,8156.0,15132.0
498,华中数控,300161,5711.0,14535.0
499,秀强股份,300160,3414.0,10080.0
500,新研股份,300159,3724.0,9713.0
501,振东制药,300158,2370.0,6783.0
502,恒泰艾普,300157,5899.0,13628.0
503,神雾环保,300156,13242.0,31358.0
504,安居宝,300155,7633.0,24554.0
505,瑞凌股份,300154,2282.0,5559.0
506,科泰电源,300153,7005.0,14034.0
507,科融环境,300152,10846.0,26669.0
508,昌红科技,300151,6222.0,14215.0
509,世纪瑞尔,300150,3095.0,11723.0
510,量子高科,300149,3590.0,14495.0
511,天舟文化,300148,4318.0,15120.0
512,香雪制药,300147,4024.0,23862.0
513,汤臣倍健,300146,19466.0,66308.0
514,中金环境,300145,2485.0,26259.0
515,宋城演艺,300144,32825.0,103354.0
516,星普医科,300143,2079.0,4015.0
517,沃森生物,300142,7685.0,22028.0
